;0
totalpnl;-47750.0
totalvolume;448.0
maxholdposition;-193.0
maxholdpositiontime;2018-09-06 00:00:00
multiplier;100
CommissionPerShare;10
TotalCommission;-4480.0
PNLwithCommission;-52230.0
